Kevin DE BRUYNE soccer player profile - Soccer Manager;;M,AM(C);;;;;;;;;;;;;;;;;;;;;;;;;
;Becker ALISSON soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup;3 (0);0;0;0;6.67;0;0;GK;;;;;;;;;;;;;;;
;Becker ALISSON soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup Qualifiers;4 (0);0;0;0;6.00;0;0;GK;;;;;;;;;;;;;;;
;Becker ALISSON soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup;2 (0);0;0;0;7.00;0;0;GK;;;;;;;;;;;;;;;
;Becker ALISSON soccer player profile - Soccer Manager;;GK;;;;;;;;;;;;;;;;;;;;;;;;
;Becker ALISSON soccer player profile - Soccer Manager;Brazil;International;129 (0);0;0;5;6.31;0;0;GK;;;;;;;;;;;;;;;;
;Becker ALISSON soccer player profile - Soccer Manager;;GK;Hernández RODRI soccer player profile - Soccer Manager;;DM,M(C);;;;;;;;;;;;;;;;;;;;;
;Hernández RODRI soccer player profile - Soccer Manager;11;Spain;SMFA World Cup;3 (0);0;1;0;7.33;0;0;DM,M(C);;;;;;;;;;;;;;;
;Hernández RODRI soccer player profile - Soccer Manager;11;Spain;SMFA World Cup Qualifiers;8 (0);2;2;1;8.25;3;0;DM,M(C);;;;;;;;;;;;;;;
;Hernández RODRI soccer player profile - Soccer Manager;11;Spain;SMFA World Cup;2 (0);1;0;1;8.50;0;0;DM,M(C);;;;;;;;;;;;;;;
;Hernández RODRI soccer player profile - Soccer Manager;;DM,M(C);;;;;;;;;;;;;;;;;;;;;;;;
;Hernández RODRI soccer player profile - Soccer Manager;Spain;International;102 (0);24;20;8;7.27;7;1;DM,M(C);;;;;;;;;;;;;;;;
;Hernández RODRI soccer player profile - Soccer Manager;;DM,M(C);Vinícius JÚNIOR soccer player profile - Soccer Manager;;AM(L),F(LC);;;;;;;;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup;1 (0);0;0;0;8.00;0;0;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup Qualifiers;7 (0);8;5;6;9.29;1;0;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;;AM(L),F(LC);;;;;;;;;;;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;Brazil;International;61 (0);37;52;16;8.49;7;0;AM(L),F(LC);;;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;;AM(L),F(LC);;;;;;;;;;;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;6;Atlanta United;Divisão 1;22 (0);5;15;5;7.73;5;1;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;5;Santos FC;Divisão 1;28 (0);6;15;3;7.54;3;1;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;4;Flamengo;Divisão 1;26 (1);7;7;2;6.78;3;0;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;3;Flamengo;Divisão 1;1 (0);0;0;0;7.00;1;0;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;3;Corinthians;Divisão 1;17 (6);4;3;0;6.78;3;1;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;2;Atlanta United;Divisão 1;26 (0);8;7;3;7.08;5;0;AM(L),F(LC);;;;;;;;;;;;;;;
;Vinícius JÚNIOR soccer player profile - Soccer Manager;1;Atlanta United;Divisão 1;21 (0);10;13;4;7.62;4;0;AM(L),F(LC);Federico VALVERDE soccer player profile - Soccer Manager;;M,AM(RC);;;;;;;;;;;;
;Federico VALVERDE soccer player profile - Soccer Manager;11;Uruguay;SMFA World Cup;4 (0);2;1;0;7.75;0;0;M,AM(RC);;;;;;;;;;;;;;;
;Federico VALVERDE soccer player profile - Soccer Manager;11;Uruguay;SMFA World Cup Qualifiers;8 (0);4;1;0;7.88;0;0;M,AM(RC);;;;;;;;;;;;;;;
;Federico VALVERDE soccer player profile - Soccer Manager;11;Uruguay;SMFA World Cup;2 (0);0;0;0;6.50;0;0;M,AM(RC);;;;;;;;;;;;;;;
;Federico VALVERDE soccer player profile - Soccer Manager;;M,AM(RC);;;;;;;;;;;;;;;;;;;;;;;;
;Federico VALVERDE soccer player profile - Soccer Manager;Uruguay;International;108 (0);24;19;6;7.35;12;0;M,AM(RC);;;;;;;;;;;;;;;;
;Federico VALVERDE soccer player profile - Soccer Manager;;M,AM(RC);Rúben DIAS soccer player profile - Soccer Manager;;D(C);;;;;;;;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup;6 (0);1;0;1;7.50;0;0;D(C);;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup Qualifiers;8 (0);0;0;0;7.75;1;0;D(C);;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup;2 (0);0;0;0;7.50;1;0;D(C);;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;;D(C);;;;;;;;;;;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;Portugal;International;126 (0);13;8;7;7.52;14;1;D(C);;;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;;D(C);;;;;;;;;;;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;3;Atlanta United;Divisão 1;26 (0);0;4;0;7.04;1;1;D(C);;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;2;Atlanta United;Divisão 1;27 (0);1;0;1;6.89;4;0;D(C);;;;;;;;;;;;;;;
